name,institution,connected,connection_detail,current_or_past,supporting_url,confidence,temporal_evidence
Robert Duncan,Purdue University,N,Error: Unterminated string starting at: line 1 column 440 (char 439),N/A,,low,Processing error: Unterminated string starting at: line 1 column 440 (char 439)
Mitch Daniels,Purdue University,Y,Former president of Purdue University (academic employment),past,https://www.purdue.edu/newsroom/2023/10/31/new-book-by-mitch-daniels-compiles-a-decade-of-leadership/,high,"Served as Purdue's 12th president from 2004 to 2013, no current role at Purdue"
Morgan Furze,Purdue University,Y,Assistant Professor in Botany & Plant Pathology,current,https://ag.purdue.edu/directory/furze,high,Profile lists Morgan Furze as assistant professor with no end date; latest update 2025.
Connie Weaver,Purdue University,Y,Former professor and department head at Purdue University,past,https://archives.lib.purdue.edu/collections/power/1201,high,"Joined Purdue in 1978, served as professor and head of the Department of Nutrition Science, left the university in December 2018"
Geoffrey Hinton,Purdue University,N,"No evidence of employment, student enrollment, or advisory role at Purdue University",N/A,,low,No records of Geoffrey Hinton holding any position or affiliation with Purdue University
Albert Warner Overhauser,Purdue University,Y,Former Stuart Distinguished Professor of Physics at Purdue University,past,https://en.wikipedia.org/wiki/Albert_Overhauser,high,Joined Purdue faculty in 1973 and served until his death in 2011; no current affiliation.
Isidor Isaac Rabi,Purdue University,N,"No evidence of employment, student enrollment, or official appointment at Purdue University",N/A,,low,"All documented positions for Rabi were at Columbia, MIT, and the University of Chicago; no records of a Purdue affiliation"
Chintamani Nagesa Ramachandra Rao,Purdue University,Y,Alumnus – earned Ph.D. from Purdue University (1958) and served as a visiting professor there,past,https://www.purdue.edu/ews/newsroom/2013/04/21/purdue-alumnus-and-international-policy-leader-chintamani-nagesa-ramachandra-rah-ruled-2013.html,high,Ph.D. completed in 1958; no evidence of current employment or affiliation with Purdue as of 2025
Jane Goodall,Purdue University,N,"No evidence of employment, faculty, staff, student enrollment, alumni status, or official visiting/fellowship role at Purdue University.",N/A,,low,All available sources reference only invited talks or event mentions; no official appointment or enrollment record.
Marie Curie,Purdue University,N,"No evidence that Marie Curie held any employment, student, visiting, or advisory role at Purdue University.",N/A,,low,"Marie Curie lived from 1867 to 1934, long before Purdue University was founded (1869) and there is no record of her affiliation with the institution."
Nicholas Rauh,Purdue University,N,Error: Expecting value: line 1 column 1 (char 0),N/A,,low,Processing error: Expecting value: line 1 column 1 (char 0)
France Cordova,Purdue University,Y,Former president of Purdue University (academic employment),past,https://www.purdue.edu/ed/faculty/faculty?url=www.purdue.edu/ed/faculty/faculty,high,"France Cordova served as Purdue's 11th president from July 16, 2007 until 2015; no current role at Purdue is documented."
Buzz Aldrin,Purdue University,N,"No evidence of employment, student enrollment, alumni status, or official visiting/fellowship appointment at Purdue University.",N/A,,low,All documented interactions are one‑time talks or collaborations; no official role or appointment has been recorded.
Roy Dejoie,Purdue University,Y,Current academic employment as a Clinical Associate Professor and lecturer in the Daniels School of Management,current,https://www.purdue.edu/prospects/teaching-excellence/management-excellence/roy-dejoie-profile/,high,"Listed as instructor for courses in Fall 2025 and Spring 2025, and described as a Clinical Associate Professor in recent Purdue faculty listings."
Jozef Kokini,Purdue University,N,"No evidence of employment, student enrollment, or official affiliation with Purdue University",N/A,,low,No records or directory listings found indicating a past or current role at Purdue
Paul Alivisatos,Purdue University,N,"Invited speaker at Purdue's Presidential Lecture Series; no employment, student, or advisory role.",N/A,https://www.purdue.edu/presidential-lecture-series/paul-alivisatos,low,Invited to speak in September 2023; no evidence of any formal appointment or alumni status at Purdue.
Vernon W. Ruttan,Purdue University,Y,Former economist (faculty) at Purdue University from 1955 to 1963,past,https://en.wikipedia.org/wiki/Vernon_W._Ruttan,high,Listed as Purdue University economist 1955‑1963; no evidence of current affiliation
William H. Gass,Purdue University,N,Error: Expecting value: line 1 column 1 (char 0),N/A,,low,Processing error: Expecting value: line 1 column 1 (char 0)
Axel Hoffmann,Purdue University,N,Error: Expecting property name enclosed in double quotes: line 1 column 188 (char 187),N/A,,low,Processing error: Expecting property name enclosed in double quotes: line 1 column 188 (char 187)
Matthew Lanham,Purdue University,N,Error: Expecting value: line 1 column 1 (char 0),N/A,,low,Processing error: Expecting value: line 1 column 1 (char 0)
