name,institution,connected,connection_detail,current_or_past,supporting_url,confidence,temporal_evidence
Robert Duncan,Purdue University,Y,Assistant Professor in Human Development and Family Science,current,https://www.bing.com/ck/a?p=a16f6ca5429d6254d73211f527adff17a8ced9dee557e87084502b363f313246JmltdHM9MTc1OTEwNDAwMA&ptn=3&ver=2&hsh=4&fclid=23af5edd-e754-6fc8-07a6-48abe6d66e74&u=a1aHR0cHM6Ly9ib2lsZ...,high,Teaching courses in Spring 2024 and Fall 2023 indicates current employment.
Mitch Daniels,Purdue University,Y,Former President of Purdue University (academic employment),past,https://www.purdue.edu/president/biography/,high,Served as Purdue’s 12th president from 2013 to 2022; no current role at Purdue.
Morgan Furze,Purdue University,Y,Assistant Professor in the College of Agriculture (Botany & Plant Pathology),current,https://ag.purdue.edu/people/morgan-furze,high,Profile lists Morgan Furze as assistant professor in 2025
Connie Weaver,Purdue University,Y,Former professor and department head at Purdue University,past,https://www.bestfoodfacts.org/,high,"Joined Purdue in 1978, served as department head from 1991, and left the university in December 2018"
Geoffrey Hinton,Purdue University,N,No evidence that Geoffrey Hinton has ever held an academic or alumni position at Purdue University.,N/A,,high,"Search results contain no mention of Hinton’s employment, visiting, or alumni status at Purdue; all references are to other individuals or institutions."
Albert Warner Overhauser,Purdue University,Y,Former Stuart Distinguished Professor of Physics at Purdue University,past,https://www.purdue.edu/physics/people/faculty/overhauser.html,high,Listed as professor from 1973 until his death in 2011
Isidor Isaac Rabi,Purdue University,N,"No evidence of employment, faculty, student, or official affiliation with Purdue University.",N/A,,high,"No records of Rabi holding a position or enrollment at Purdue; all known appointments were at Columbia, Cornell, and the University of Chicago."
Chintamani Nagesa Ramachandra Rao,Purdue University,Y,Alumnus – earned a PhD from Purdue University in 1958,past,https://www.bing.com/ck/a?p=0dde7cf5309b329dc5cb48f12ec00c9ae64ec2fbda0fb17e150b7421e776578dJmltdHM9MTc1OTEwNDAwMA&ptn=3&ver=2&hsh=4&fclid=089b64fa-cf3d-63cb-208c-728ccea3626d&u=a1aHR0cHM6Ly93d3cub,high,"PhD completed in 1958, no current affiliation with Purdue"
Jane Goodall,Purdue University,N,"No evidence of employment, student enrollment, or official visiting/fellowship role at Purdue University.",N/A,,high,Only records of a single invited talk in 2008; no indication of a formal appointment or alumni status.
Marie Curie,Purdue University,N,"No evidence that the historical scientist Marie Curie had any employment, student, or official role at Purdue University.",N/A,,high,All search results refer to fellowship programs or historical mentions; none indicate a past or current affiliation with Purdue.
Nicholas Rauh,Purdue University,Y,emeritus professor of classics who is currently teaching courses at Purdue,current,https://www.purdue.edu/artsci/department/classics/people/faculty/nicholas-rau,high,teaching CLCS 181 (Summer 2025) and CLCS 383 (Spring 2024) indicates active faculty status
France Cordova,Purdue University,Y,former president of Purdue University,past,https://www.bing.com/ck/a?p=59b3e2978369fd10ee47b7e10edb4abd802f2d4231195e81e0aac91e7b8c5e4aJmltdHM9MTc1OTEwNDAwMA&ptn=3&ver=2&hsh=4&fclid=089b64fa-cf3d-63cb-208c-728ccea3626d&u=a1aHR0cHM6Ly93d3cuZ,high,served as president from 2007 to 2014; no current employment at Purdue
Buzz Aldrin,Purdue University,Y,Alumnus – earned a master’s degree in mechanical engineering from Purdue University (1965),past,https://www.bing.com/ck/a?p=ddf1e680ff56b1cc626dbb6e69ec770b692fe0243d5e1427a9805ca0ae9d222cJmltdHM9MTc1OTEwNDAwMA&ptn=3&ver=2&hsh=4&fclid=089b64fa-cf3d-63cb-208c-728ccea3626d&u=a1aHR0cHM6Ly93d3cuY,medium,Buzz Aldrin earned a master’s degree from Purdue in 1965; no current faculty or staff role is documented.
